node_id,hour,te,q_rem,penalty_cost,revenue
49828,8760,1192.2046,0.9597,1,54005.9775
49828,17520,2074.2653,0.9300,1,70490.9162
49828,26280,3005.7213,0.8986,1,97178.7511
49828,35040,3863.1389,0.8698,1,121631.0819
49828,43800,4677.6525,0.8423,1,137074.2277
49828,52560,5455.2071,0.8161,1,150791.6754
49828,61320,6316.5507,0.7871,1,178856.2411
49828,70080,7202.1730,0.7572,1,203276.9671
49828,78840,7982.4076,0.7310,1,216905.1798
49828,87600,8695.1663,0.7069,1,224860.0347
49828,87864,8720.1933,0.7060,1,226080.8452
49828,8760,652.2633,0.9780,2,40639.7553
49828,17520,965.4638,0.9674,2,49770.1624
49828,26280,1351.0246,0.9545,2,68675.5539
49828,35040,1688.7963,0.9431,2,86899.6530
49828,43800,1942.5338,0.9345,2,97054.0977
49828,52560,2207.9455,0.9256,2,105326.7248
49828,61320,2569.5716,0.9134,2,128625.6767
49828,70080,2862.8913,0.9035,2,149772.1568
49828,78840,3072.7305,0.8964,2,160111.8740
49828,87600,3246.0376,0.8906,2,164358.4496
49828,87864,3261.8993,0.8900,2,165661.0569
49828,8760,444.7566,0.9850,3,32145.0959
49828,17520,621.2292,0.9790,3,37586.7280
49828,26280,874.8866,0.9705,3,51711.1834
49828,35040,1110.2574,0.9626,3,65772.9241
49828,43800,1258.6482,0.9576,3,73061.0532
49828,52560,1390.8843,0.9531,3,78567.1429
49828,61320,1624.0703,0.9452,3,97882.5703
49828,70080,1820.7083,0.9386,3,115955.3017
49828,78840,1938.8181,0.9347,3,124148.7882
49828,87600,2017.2977,0.9320,3,126678.6551
49828,87864,2027.8185,0.9316,3,127844.6306
49828,8760,324.5794,0.9890,4,26107.2004
49828,17520,425.7147,0.9856,4,29449.9073
49828,26280,600.0855,0.9798,4,40357.8045
49828,35040,758.9999,0.9744,4,51426.9915
49828,43800,858.3551,0.9711,4,56841.2850
49828,52560,937.7018,0.9684,4,60759.2844
49828,61320,1112.4366,0.9625,4,77155.0641
49828,70080,1264.0684,0.9574,4,92833.4654
49828,78840,1348.2677,0.9546,4,99607.1114
49828,87600,1388.8423,0.9532,4,101271.4338
49828,87864,1398.1352,0.9528,4,102313.4061
49828,8760,251.4661,0.9915,5,21551.9368
49828,17520,312.9843,0.9894,5,23599.2840
49828,26280,439.8899,0.9852,5,32159.4291
49828,35040,562.7869,0.9810,5,41037.1359
49828,43800,631.0137,0.9787,5,45137.9211
49828,52560,684.0641,0.9769,5,48061.9089
49828,61320,816.1994,0.9725,5,62174.2661
49828,70080,935.0136,0.9685,5,75871.4760
49828,78840,993.6586,0.9665,5,81578.2696
49828,87600,1017.1647,0.9657,5,82777.8216
49828,87864,1025.0654,0.9654,5,83702.0488
49828,8760,189.9644,0.9936,6,18057.8330
49828,17520,228.4441,0.9923,6,19318.0873
49828,26280,322.7301,0.9891,6,26144.7016
49828,35040,418.8258,0.9859,6,33299.6706
